"Network","Rule_set","Distance_km","Rank","mean_degree","mean_betweenness","mean_closeness","mean_harmonic","mean_eigenvector"
"Rule_C_550km","Rule_C",550,NA,0,0,NA,0,3.1264601038729e-19
"Rule_C_600km","Rule_C",600,1,1.55172413793103,0.00163956689753942,0.470312693560311,0.424568965517241,0.224262756888355
"Rule_C_600km","Rule_C",600,2,24,0.410544217687075,0.707250341997264,0.768518518518518,0.948638781846894
"Rule_C_600km","Rule_C",600,3,4,0.0738453276047261,0.502886169475872,0.498842592592593,0.246270461873636
"Rule_C_600km","Rule_C",600,4,1.66666666666667,0.00090702947845805,0.360037811650715,0.354938271604938,0.0659387143962589
"Rule_C_600km","Rule_C",600,NA,0,0,NA,0,0
"Rule_C_650km","Rule_C",650,1,1.68965517241379,0.00138791148643365,0.476809998804422,0.487068965517241,0.230036707750418
"Rule_C_650km","Rule_C",650,2,26,0.457837301587302,0.725158562367865,0.824074074074074,0.931871935323066
"Rule_C_650km","Rule_C",650,3,4.5,0.0774943310657596,0.515709642470206,0.539351851851852,0.237627025682399
"Rule_C_650km","Rule_C",650,4,2,0.000595238095238095,0.360824742268041,0.37962962962963,0.0689192921207596
"Rule_C_650km","Rule_C",650,NA,0,0,NA,0,0
